question_id,subject,model,mode,model_extracted_output,correct_answer,correct,notes,request_time_ms
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.15,Materials: Semiconductors,openai/gpt-4o-mini,text_only,1.272,0.349,Y,llm_only,23745
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.16,Materials: Semiconductors,openai/gpt-4o-mini,text_only,1.04 \times 10^{-14},1.04E-05,N,llm_only,18466
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.18,Materials: Semiconductors,openai/gpt-4o-mini,text_only,0.560,107,N,llm_only,21058
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.19,Materials: Semiconductors,openai/gpt-4o-mini,text_only,7,1.03 \times 10^{21} \mathrm{~m}^{-3},N,llm_only,20019
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.22,Materials: Semiconductors,openai/gpt-4o-mini,text_only,0.0000184,1.84E-05,N,llm_only,23777
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.23,Materials: Semiconductors,openai/gpt-4o-mini,text_only,-19,1.26E-06,N,llm_only,22844
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.24,Materials: Semiconductors,openai/gpt-4o-mini,text_only,0,"(0.909, 0.091)",Y,llm_only,18192
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.26,Materials: Semiconductors,openai/gpt-4o-mini,text_only,100,886,N,llm_only,9531
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.1,Structures: Composites,openai/gpt-4o-mini,text_only,4.97 \times 10^{-19},3.1,N,llm_only,9392
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.3,Materials: Polymers,openai/gpt-4o-mini,text_only,0.0523,0.0519,Y,llm_only,8043
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.5,Materials: Metals,openai/gpt-4o-mini,text_only,"(2.84 \times 10^{-19}, 4.97 \times 10^{-19})","(2.84 \times 10^{-19}, 4.97 \times 10^{-19})",Y,llm_only,19057
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.6,Materials: Semiconductors,openai/gpt-4o-mini,text_only,842.6,844,Y,llm_only,14304
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.7,Materials: Glasses,openai/gpt-4o-mini,text_only,81.36,83.3,N,llm_only,8828
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.8,Materials: Semiconductors,openai/gpt-4o-mini,text_only,479,479,Y,llm_only,15184
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.12,Materials: Metals,openai/gpt-4o-mini,text_only,16,16,Y,llm_only,12764
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.17,Materials: Metals,openai/gpt-4o-mini,text_only,"(15, 15, 15)","(40, 40, 40)",N,llm_only,18698
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 15.2,Materials: Hybrids,openai/gpt-4o-mini,text_only,23655000,2.37E+07,Y,llm_only,6178
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 15.3,Materials: Semiconductors,openai/gpt-4o-mini,text_only,843,844,Y,llm_only,15920
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 15.4,Materials: Metals,openai/gpt-4o-mini,text_only,3.36,1.68,N,llm_only,18363
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 2.1,Materials: Metals,openai/gpt-4o-mini,text_only,4,"(3.38e10, 2.59e10)",N,llm_only,24096
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 2.3,Materials: Metals,openai/gpt-4o-mini,text_only,"(1.92, 2.65)","(19.23, 26.34)",N,llm_only,13473
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 2.5,Structures: Composites,openai/gpt-4o-mini,text_only,1.024,"(20.9e-9, -20.9e-9)",N,llm_only,21122
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 2.6,Fundamental: Crystal Structure,openai/gpt-4o-mini,text_only,"(0.612, 0.707)","(0.225, 0.414)",N,llm_only,6406
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 2.10,Materials: Polymers,openai/gpt-4o-mini,text_only,"(-100, -80)","(60, 60)",N,llm_only,10544
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 2.11,Materials: Polymers,openai/gpt-4o-mini,text_only,649,794,N,llm_only,12098
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.5,Properties: Mechanical,openai/gpt-4o-mini,text_only,3.34,3.45,N,llm_only,8787
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.6,Materials: Polymers,openai/gpt-4o-mini,text_only,5,5.7E+24,N,llm_only,18619
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.12,Fundamental: Crystal Structure,openai/gpt-4o-mini,text_only,"([100], [010], [001], [-100], [0-10], [00-1], [-010], [-001])","([100],[010],[001][100],[0 \overline{1} 0],[00 \overline{1}], )",N,llm_only,9901
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.13,Fundamental: Crystal Structure,openai/gpt-4o-mini,text_only,"(45, 54.74)","(45, 54.7)",Y,llm_only,17587
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.16,Materials: Metals,openai/gpt-4o-mini,text_only,"\left( \frac{2}{\sqrt{3}a}, \frac{6}{\sqrt{3}a} \right)","(4.03, 1.63)",N,llm_only,14984
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.17,Materials: Metals,openai/gpt-4o-mini,text_only,"\left( \frac{4}{\sqrt{3} a^2}, \frac{6}{\sqrt{3} a^2} \right)","(7.04, 18.5)",N,llm_only,16020
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.18,Properties: Mechanical,openai/gpt-4o-mini,text_only,0.481,1.21,N,llm_only,13907
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.19,Properties: Mechanical,openai/gpt-4o-mini,text_only,1.154,10.2,N,llm_only,22558
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.20,Materials: Semiconductors,openai/gpt-4o-mini,text_only,0.407,2.05,N,llm_only,12864
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.21,Materials: Semiconductors,openai/gpt-4o-mini,text_only,1.44 \times 10^{15},7.27,N,llm_only,17329
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 4.3,Materials: Metals,openai/gpt-4o-mini,text_only,4.72 \times 10^{25},5.31E+25,N,llm_only,19495
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 4.4,Materials: Metals,openai/gpt-4o-mini,text_only,1.85,0.320,N,llm_only,10262
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 6.7,Materials: Metals,openai/gpt-4o-mini,text_only,"(2.866, 2.884)","(0.2864, 0.2887)",N,llm_only,20477
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 6.9,Materials: Metals,openai/gpt-4o-mini,text_only,7.3,4.08,N,llm_only,14612
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 7.1,Materials: Metals,openai/gpt-4o-mini,text_only,385,385,Y,llm_only,10595
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 7.2,Materials: Ceramics,openai/gpt-4o-mini,text_only,0.0004875,0.517,N,llm_only,13820
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 7.3,Materials: Metals,openai/gpt-4o-mini,text_only,2000000,1.86E+06,Y,llm_only,12906
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 8.1,Materials: Metals,openai/gpt-4o-mini,text_only,0.25,\leq 0.20,N,llm_only,11522
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 9.1,Materials: Metals,openai/gpt-4o-mini,text_only,"(3, 2, 1)","(2, 1, 0)",N,llm_only,11653
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 11.1,Materials: Metals,openai/gpt-4o-mini,text_only,2.92068,"(2.75, 2.91)",Y,llm_only,24660
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 12.1,Materials: Polymers,openai/gpt-4o-mini,text_only,0.001,"(0.243, 0.121)",N,llm_only,28674
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 12.2,Materials: Polymers,openai/gpt-4o-mini,text_only,544,833,N,llm_only,9465
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 12.7,Materials: Hybrids,openai/gpt-4o-mini,text_only,14.105,14.1,Y,llm_only,10613
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 12.8,Materials: Glasses,openai/gpt-4o-mini,text_only,36.5,3.97E+04,N,llm_only,9858
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.2,Materials: Metals,openai/gpt-4o-mini,text_only,6.66 \times 10^{23},8.17E+23,N,llm_only,18617
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.6,Materials: Semiconductors,openai/gpt-4o-mini,text_only,2.2 \times 10^{-18},2.32E-09,N,llm_only,11432
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.7,Materials: Metals,openai/gpt-4o-mini,text_only,180,"(34.0e6, 10.0e6)",N,llm_only,30124
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.8,Materials: Metals,openai/gpt-4o-mini,text_only,-8,4.32E-08,N,llm_only,21344
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.13,Materials: Semiconductors,openai/gpt-4o-mini,text_only,"(3.9872 \times 10^{-4}, 2506.8)","(3.99e-4, 2.50e3)",Y,llm_only,15328
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.21,Materials: Semiconductors,openai/gpt-4o-mini,text_only,0,2.2E+04,N,llm_only,21019
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.22,Materials: Semiconductors,openai/gpt-4o-mini,text_only,"(0.5, 0.5)","(0.9944, 0.0056)",N,llm_only,18326
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 14.1,Properties: Mechanical,openai/gpt-4o-mini,text_only,2.84 \times 10^{-19},1.77,N,llm_only,14680
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 14.3,Materials: Polymers,openai/gpt-4o-mini,text_only,"(0.0387, 0.0222)","(0.0362, 0.0222)",N,llm_only,11559
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 14.4,Properties: Optical,openai/gpt-4o-mini,text_only,0.0759,0.0758,Y,llm_only,8979
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 14.12,Materials: Metals,openai/gpt-4o-mini,text_only,11.84,8,N,llm_only,10756
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 14.17,Materials: Ceramics,openai/gpt-4o-mini,text_only,8.8,"(0, 80, 0.89)",N,llm_only,17990
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 15.7,Materials: Metals,openai/gpt-4o-mini,text_only,32.3,0.0323,Y,llm_only,19147
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.1,Materials: Metals,openai/gpt-4o-mini,text_only,1.04 \times 10^{22},1.04E+22,Y,llm_only,15974
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.3,Materials: Semiconductors,openai/gpt-4o-mini,text_only,2,"(3.31e15, 6.62e15)",N,llm_only,18905
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.5,Materials: Metals,openai/gpt-4o-mini,text_only,23,"(0.92e12, 1.38e12)",N,llm_only,19541
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.7,Materials: Metals,openai/gpt-4o-mini,text_only,"(3.70 \times 10^{23}, 0.615)","(0.372e24, 0.617)",Y,llm_only,15905
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.9,Materials: Metals,openai/gpt-4o-mini,text_only,,"(1.41, 6.50e-4)",N,llm_only,18935
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.25,Materials: Ceramics,openai/gpt-4o-mini,text_only,10,2.21E-08,N,llm_only,18062
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.27,Properties: Thermal,openai/gpt-4o-mini,text_only,\frac{\pi^2}{3},1.645,N,llm_only,16220
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.31,Materials: Elastomers,openai/gpt-4o-mini,text_only,-734,"(60, 678)",N,llm_only,19471
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.35,Materials: Polymers,openai/gpt-4o-mini,text_only,60068.4,60068,Y,llm_only,7078
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.49,Materials: Metals,openai/gpt-4o-mini,text_only,0.1,392,N,llm_only,17786
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.15,Structures: Composites,openai/gpt-4o-mini,text_only,10.96,10.9,Y,llm_only,20847
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.19,Materials: Polymers,openai/gpt-4o-mini,text_only,-1.66 \times 10^{-19},1.24,N,llm_only,14261
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.21,Materials: Polymers,openai/gpt-4o-mini,text_only,0.68,0.12,N,llm_only,20246
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.27,Fundamental: Crystal Structure,openai/gpt-4o-mini,text_only,1,"(26.6, 26.6)",N,llm_only,22139
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.31,Fundamental: Diffusion & Kinetics,openai/gpt-4o-mini,text_only,[0 1 -1],[0 \overline{1} 1],N,llm_only,9446
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.77,Materials: Metals,openai/gpt-4o-mini,text_only,"((1, 0, 0), (1, 1, 0), (2, 0, 0))","((100), (002), (101))",N,llm_only,10002
Introduction_to_Materials_Science_for_Engineers_Shackelford_4.13,Materials: Semiconductors,openai/gpt-4o-mini,text_only,3,"(8.00e-6, 7.69e-6)",N,llm_only,22824
Introduction_to_Materials_Science_for_Engineers_Shackelford_4.15,Materials: Semiconductors,openai/gpt-4o-mini,text_only,6,"(8.00e-6, 8.83e-6)",N,llm_only,17699
Introduction_to_Materials_Science_for_Engineers_Shackelford_4.17,Materials: Semiconductors,openai/gpt-4o-mini,text_only,5.00 \times 10^{21},5E+21,Y,llm_only,11182
Introduction_to_Materials_Science_for_Engineers_Shackelford_4.19,Materials: Semiconductors,openai/gpt-4o-mini,text_only,2.68 \times 10^{20},2.69E+23,N,llm_only,19448
Introduction_to_Materials_Science_for_Engineers_Shackelford_4.21,Materials: Metals,openai/gpt-4o-mini,text_only,"\left(\frac{2}{3}, \frac{1}{3}\right)","(2.67, 1.33)",N,llm_only,23220
Introduction_to_Materials_Science_for_Engineers_Shackelford_5.1,Materials: Ceramics,openai/gpt-4o-mini,text_only,0.000589,500,Y,llm_only,24637
Introduction_to_Materials_Science_for_Engineers_Shackelford_5.3,Materials: Ceramics,openai/gpt-4o-mini,text_only,0.000065,290,N,llm_only,19066
Introduction_to_Materials_Science_for_Engineers_Shackelford_5.17,Materials: Metals,openai/gpt-4o-mini,text_only,4.0 \times 10^{-17},4.1E-15,N,llm_only,14345
Introduction_to_Materials_Science_for_Engineers_Shackelford_5.19,Materials: Metals,openai/gpt-4o-mini,text_only,20 \times 10^{-6},1.65E-13,N,llm_only,16308
Introduction_to_Materials_Science_for_Engineers_Shackelford_5.21,Materials: Metals,openai/gpt-4o-mini,text_only,1273,264,N,llm_only,18622
