question_id,subject,model,mode,model_extracted_output,correct_answer,correct,notes,request_time_ms
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 15.5,Materials: Metals,openai/gpt-4o-mini,multimodal,5.20 \times 10^{-8},3.13 \times 10^{16},N,llm_only,11500
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 15.6,Materials: Metals,openai/gpt-4o-mini,multimodal,0.323,0.323,Y,llm_only,7372
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 15.7,Materials: Metals,openai/gpt-4o-mini,multimodal,20.04,0.0201,N,llm_only,12015
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 2.4,Materials: Metals,openai/gpt-4o-mini,multimodal,"(1s^2 2s^2 2p^6 3s^2, 1s^2 2s^2 2p^6, 1s^2 2s^2 2p^4, 1s^2 2s^2 2p^6)","($1 s^2 2 s^2 2 p^6 3 s^2$, $1 s^2 2 s^2 2 p^6$, $1 s^2 2 s^2 2 p^4$, $1 s^2 2 s^2 2 p^6$)",Y,llm_only,10820
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 9.7,Materials: Metals,openai/gpt-4o-mini,multimodal,0.06,60.8,N,llm_only,11810
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.14,Materials: Semiconductors,openai/gpt-4o-mini,multimodal,1.1 \times 10^{-13},24.8,N,llm_only,11766
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.15,Fundamental: Diffusion & Kinetics,openai/gpt-4o-mini,multimodal,1.47,-1.49E-09,N,llm_only,12596
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.33,Materials: Polymers,openai/gpt-4o-mini,multimodal,814,335,N,llm_only,8322
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.51,Materials: Glasses,openai/gpt-4o-mini,multimodal,1.37 \times 10^{24},2.77E+23,N,llm_only,11871
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.17,Properties: Mechanical,openai/gpt-4o-mini,multimodal,0.597,0.317,N,llm_only,14097
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.53,Fundamental: Crystal Structure,openai/gpt-4o-mini,multimodal,"((0, 0, 0), (\frac{1}{2}, \frac{1}{2}, 0), (\frac{1}{2}, 0, \frac{1}{2}), (0, \frac{1}{2}, \frac{1}{2}))","(000, $\frac{1}{2} \frac{1}{2} 0$, $\frac{1}{2} 0 \frac{1}{2}$, 0 $\frac{1}{2} \frac{1}{2}$)",Y,llm_only,11307
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.67,Materials: Metals,openai/gpt-4o-mini,multimodal,\frac{4}{\sqrt{3} a^2},6.56,N,llm_only,8910
Introduction_to_Materials_Science_for_Engineers_Shackelford_4.9,Materials: Metals,openai/gpt-4o-mini,multimodal,4.26,0,N,llm_only,7583
Introduction_to_Materials_Science_for_Engineers_Shackelford_4.11,Properties: Optical,openai/gpt-4o-mini,multimodal,2,6.023E+23,N,llm_only,13219
Introduction_to_Materials_Science_for_Engineers_Shackelford_4.25,Structures: Micro/Nano-structure,openai/gpt-4o-mini,multimodal,-3,5.6,N,llm_only,8543
Introduction_to_Materials_Science_for_Engineers_Shackelford_5.29,Materials: Metals,openai/gpt-4o-mini,multimodal,8,86.6,N,llm_only,13597
Introduction_to_Materials_Science_for_Engineers_Shackelford_6.13,Materials: Metals,openai/gpt-4o-mini,multimodal,1,"(78.5, 31.3)",N,llm_only,13094
Introduction_to_Materials_Science_for_Engineers_Shackelford_6.15,Materials: Ceramics,openai/gpt-4o-mini,multimodal,505.2,"(29.7, 5.10e4)",N,llm_only,13131
Introduction_to_Materials_Science_for_Engineers_Shackelford_6.21,Materials: Polymers,openai/gpt-4o-mini,multimodal,"(E_t, E_c)","(1.11, 1.54)",N,llm_only,7411
Introduction_to_Materials_Science_for_Engineers_Shackelford_6.31,Materials: Metals,openai/gpt-4o-mini,multimodal,"((111)[110], (111)[101], (111)[011])","((1̄11)[110], ( \overline{1} 11)[110],(11 \overline{1})[101],(\overline{1} 11)[101], (111)[011], (171)[011])",N,llm_only,8615
Introduction_to_Materials_Science_for_Engineers_Shackelford_6.39,Materials: Metals,openai/gpt-4o-mini,multimodal,300,400,N,llm_only,4666
Introduction_to_Materials_Science_for_Engineers_Shackelford_7.13,Materials: Ceramics,openai/gpt-4o-mini,multimodal,341,357,Y,llm_only,10558
Introduction_to_Materials_Science_for_Engineers_Shackelford_8.25,Materials: Metals,openai/gpt-4o-mini,multimodal,100,91,N,llm_only,5804
Introduction_to_Materials_Science_for_Engineers_Shackelford_8.31,Materials: Polymers,openai/gpt-4o-mini,multimodal,4,6.67,N,llm_only,10859
Introduction_to_Materials_Science_for_Engineers_Shackelford_8.37,Materials: Metals,openai/gpt-4o-mini,multimodal,0.01,0.046,N,llm_only,12537
Introduction_to_Materials_Science_for_Engineers_Shackelford_9.17,Materials: Metals,openai/gpt-4o-mini,multimodal,0.5,"(1, 0, 0.667, 0.333, 0, 1)",N,llm_only,14375
Introduction_to_Materials_Science_for_Engineers_Shackelford_9.23,Materials: Metals,openai/gpt-4o-mini,multimodal,0.7568,760,N,llm_only,10861
Introduction_to_Materials_Science_for_Engineers_Shackelford_9.25,Materials: Metals,openai/gpt-4o-mini,multimodal,0.8765,3,N,llm_only,14148
Introduction_to_Materials_Science_for_Engineers_Shackelford_9.33,Materials: Ceramics,openai/gpt-4o-mini,multimodal,21.1,18.6,N,llm_only,10228
Introduction_to_Materials_Science_for_Engineers_Shackelford_10.5,Structures: Surface Texture,openai/gpt-4o-mini,multimodal,\frac{2 \sigma}{\Delta G_v},-2 \sigma / \Delta G_v,N,llm_only,11831
Introduction_to_Materials_Science_for_Engineers_Shackelford_10.13,Materials: Metals,openai/gpt-4o-mini,multimodal,600,710,N,llm_only,7448
Introduction_to_Materials_Science_for_Engineers_Shackelford_10.35,Materials: Metals,openai/gpt-4o-mini,multimodal,97,98.0,Y,llm_only,10160
Introduction_to_Materials_Science_for_Engineers_Shackelford_10.43,Materials: Ceramics,openai/gpt-4o-mini,multimodal,"(1437, 1726, 2000)","(503, 448, 521)",N,llm_only,7780
Introduction_to_Materials_Science_for_Engineers_Shackelford_11.9,Materials: Ceramics,openai/gpt-4o-mini,multimodal,2.0,"(72.4, 27.6)",Y,llm_only,29912
Introduction_to_Materials_Science_for_Engineers_Shackelford_12.5,Materials: Polymers,openai/gpt-4o-mini,multimodal,35.8,35.8,Y,llm_only,9152
Introduction_to_Materials_Science_for_Engineers_Shackelford_12.49,Materials: Polymers,openai/gpt-4o-mini,multimodal,26210,4.92E+04,N,llm_only,9926
Introduction_to_Materials_Science_for_Engineers_Shackelford_13.1,Materials: Metals,openai/gpt-4o-mini,multimodal,-12,"(55.0, 3.14e-9, 7.85e-19)",N,llm_only,13916
Introduction_to_Materials_Science_for_Engineers_Shackelford_14.55,Materials: Metals,openai/gpt-4o-mini,multimodal,"(38.26 \times 10^4, 13.05)","(38e4, 14)",Y,llm_only,14340
Introduction_to_Materials_Science_for_Engineers_Shackelford_15.35,Materials: Metals,openai/gpt-4o-mini,multimodal,15.7,0.0157,N,llm_only,13254
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 1.1,Fundamental: Crystal Structure,openai/gpt-4o-mini,multimodal,24,"(0.52, 0.74, 0.68)",Y,llm_only,13568
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 1.2,Materials: Metals,openai/gpt-4o-mini,multimodal,"((1, 1, 0), (1, 1, 1))","([110], [111])",Y,llm_only,4843
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 1.3,Fundamental: Crystal Structure,openai/gpt-4o-mini,multimodal,110,-110,N,llm_only,6732
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 1.6,Materials: Metals,openai/gpt-4o-mini,multimodal,"(2.713, 18.67)","(5.4317, 2.33)",N,llm_only,10996
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 5.9,Materials: Semiconductors,openai/gpt-4o-mini,multimodal,"(10.04, 30)","(10.04, 30)",Y,llm_only,10614
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 7.6,Materials: Semiconductors,openai/gpt-4o-mini,multimodal,1,6.82,N,llm_only,14038
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 9.3,Materials: Semiconductors,openai/gpt-4o-mini,multimodal,1,1,Y,llm_only,9639
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 10.4,Materials: Ceramics,openai/gpt-4o-mini,multimodal,"(12.6, 31.5)","($139.9 \times 10^{-12}$, $0.348 \times 10^{-6}$)",N,llm_only,10426
Fundamentals_of_Materials_Instructors_Example 2.9,Materials: Metals,openai/gpt-4o-mini,multimodal,6,"($1 s^{2} 2 s^{2} 2 p^{6}$, $1 s^{2} 2 s^{2} 2 p^{6} 3 s^{2} 3 p^{6}$, $1 s^{2} 2 s^{2} 2 p^{6} 3 s^{2} 3 p^{6} 3 d^{10} 4 s^{2} 4 p^{6} 4 d^{10}$, $1 s^{2} 2 s^{2} 2 p^{6} 3 s^{2} 3 p^{6} 3 d^{10} 4 s^{2} 4 p^{6}$, $1 s^{2} 2 s^{2} 2 p^{6} 3 s^{2} 3 p^{6} 3 d^{10} 4 s^{2} 4 p^{6} 4 d^{10} 5 s^{2} 5 p^{6}$, $1 s^{2} 2 s^{2} 2 p^{6} 3 s^{2} 3 p^{6} 3 d^{8}$)",N,llm_only,14048
Fundamentals_of_Materials_Instructors_Example 2.25,Properties: Thermal,openai/gpt-4o-mini,multimodal,3,"(73.4, 6.1, 93.4, 14.8, 51.4)",N,llm_only,13236
Fundamentals_of_Materials_Instructors_Example 3.11,Materials: Metals,openai/gpt-4o-mini,multimodal,5070.5,5.07,Y,llm_only,10700
Fundamentals_of_Materials_Instructors_Example 3.15,Fundamental: Crystal Structure,openai/gpt-4o-mini,multimodal,\text{BCC},BCC,Y,llm_only,15476
Fundamentals_of_Materials_Instructors_Example 3.24,Materials: Metals,openai/gpt-4o-mini,multimodal,0.414,0.414,Y,llm_only,14356
Fundamentals_of_Materials_Instructors_Example 3.30,Materials: Metals,openai/gpt-4o-mini,multimodal,0.0259,0.684,N,llm_only,16022
Fundamentals_of_Materials_Instructors_Example 3.35,Fundamental: Crystal Structure,openai/gpt-4o-mini,multimodal,3.07,3.32,N,llm_only,16228
Fundamentals_of_Materials_Instructors_Example 3.42,Materials: Semiconductors,openai/gpt-4o-mini,multimodal,0.612,0.340,N,llm_only,14285
Fundamentals_of_Materials_Instructors_Example 3.44,Materials: Metals,openai/gpt-4o-mini,multimodal,8.49,8.49,Y,llm_only,12382
Fundamentals_of_Materials_Instructors_Example 3.66,Materials: Metals,openai/gpt-4o-mini,multimodal,"((1, 2, 0), (0, 0, 1))","((2 1 1), (0 -1 0))",N,llm_only,11142
Fundamentals_of_Materials_Instructors_Example 3.68,Fundamental: Crystal Structure,openai/gpt-4o-mini,multimodal,"((1, 1, 2), (1, 3, 0))","($(11\bar{1})$, (230))",N,llm_only,11023
Fundamentals_of_Materials_Instructors_Example 3.69,Fundamental: Crystal Structure,openai/gpt-4o-mini,multimodal,"((1, 0, 1), (0, 0, 2))","($(1\bar{1}0), (122))",N,llm_only,9476
Fundamentals_of_Materials_Instructors_Example 3.70,Fundamental: Crystal Structure,openai/gpt-4o-mini,multimodal,"((1, 0, 2), (0, 1, 1))","($(21\bar{1})$, $(02\bar{1})$)",N,llm_only,11215
Fundamentals_of_Materials_Instructors_Example 3.76,Materials: Metals,openai/gpt-4o-mini,multimodal,-21,42.7,N,llm_only,15336
Fundamentals_of_Materials_Instructors_Example 4.2,Materials: Polymers,openai/gpt-4o-mini,multimodal,"(100.02, 100.114, 226.316, 192.164)","(100.02, 100.11, 226.32, 192.16)",Y,llm_only,10973
Fundamentals_of_Materials_Instructors_Example 4.3,Materials: Polymers,openai/gpt-4o-mini,multimodal,4804,4800,Y,llm_only,8694
Fundamentals_of_Materials_Instructors_Example 4.4,Materials: Polymers,openai/gpt-4o-mini,multimodal,"(42.078, 630000)","(42.08, 631200)",Y,llm_only,7336
Fundamentals_of_Materials_Instructors_Example 4.9,Materials: Polymers,openai/gpt-4o-mini,multimodal,"(1.65 \times 10^{-6}, 1.59 \times 10^{-9})","(2682, 22.5)",N,llm_only,10944
Fundamentals_of_Materials_Instructors_Example 4.17,Materials: Polymers,openai/gpt-4o-mini,multimodal,97500,97700,Y,llm_only,10002
Fundamentals_of_Materials_Instructors_Example 4.19,Materials: Polymers,openai/gpt-4o-mini,multimodal,4,4.0,Y,llm_only,14266
Fundamentals_of_Materials_Instructors_Example 4.21,Materials: Polymers,openai/gpt-4o-mini,multimodal,1,"(0.32, 0.68)",N,llm_only,13279
Fundamentals_of_Materials_Instructors_Example 4.24,Materials: Polymers,openai/gpt-4o-mini,multimodal,2,1,N,llm_only,16281
Fundamentals_of_Materials_Instructors_Example 5.9,Materials: Metals,openai/gpt-4o-mini,multimodal,,"(7.70, 2.98e13, 24.45)",N,llm_only,14363
Fundamentals_of_Materials_Instructors_Example 5.18,Materials: Metals,openai/gpt-4o-mini,multimodal,"\left(\frac{\sqrt{2}}{2} - 1, \frac{\sqrt{3}}{2} - 1\right)","(0.414R, 0.225R)",N,llm_only,14413
Fundamentals_of_Materials_Instructors_Example 5.19,Properties: Mechanical,openai/gpt-4o-mini,multimodal,\frac{R(\sqrt{3} - 2)}{2},0.291R,N,llm_only,22449
Fundamentals_of_Materials_Instructors_Example 5.35,Materials: Metals,openai/gpt-4o-mini,multimodal,0.388,0.4050,N,llm_only,15878
Fundamentals_of_Materials_Instructors_Example 5.40,Materials: Metals,openai/gpt-4o-mini,multimodal,6,1.55E-03,N,llm_only,16161
Fundamentals_of_Materials_Instructors_Example 5.60,Materials: Metals,openai/gpt-4o-mini,multimodal,"(6.383, 7)","(0.098, 3.41)",N,llm_only,9970
Fundamentals_of_Materials_Instructors_Example 5.61,Materials: Metals,openai/gpt-4o-mini,multimodal,"(15, 11)","(0.072, 4.26)",N,llm_only,11463
Fundamentals_of_Materials_Instructors_Example 6.4,Materials: Metals,openai/gpt-4o-mini,multimodal,110,<1 1 0>,Y,llm_only,10537
Fundamentals_of_Materials_Instructors_Example 6.5,Materials: Metals,openai/gpt-4o-mini,multimodal,111,<1 1 0>,N,llm_only,8287
Fundamentals_of_Materials_Instructors_Example 6.16,Materials: Metals,openai/gpt-4o-mini,multimodal,0,3215,N,llm_only,18716
Fundamentals_of_Materials_Instructors_Example 6.18,Materials: Metals,openai/gpt-4o-mini,multimodal,8,1010,N,llm_only,15921
Fundamentals_of_Materials_Instructors_Example 6.29,Materials: Metals,openai/gpt-4o-mini,multimodal,"(41.57, 10^{-9})","(212200, 2.65e-4)",N,llm_only,16216
Fundamentals_of_Materials_Instructors_Example 6.30,Materials: Metals,openai/gpt-4o-mini,multimodal,"(208.35, 10^{12484.5})","(470200, 2.44e-4)",N,llm_only,15436
Fundamentals_of_Materials_Instructors_Example 6.36,Materials: Metals,openai/gpt-4o-mini,multimodal,4,1360,N,llm_only,16111
Fundamentals_of_Materials_Instructors_Example 6.37,Materials: Metals,openai/gpt-4o-mini,multimodal,2,15.1,N,llm_only,14952
Fundamentals_of_Materials_Instructors_Example 7.10,Materials: Metals,openai/gpt-4o-mini,multimodal,0.46,0.43,Y,llm_only,10217
Fundamentals_of_Materials_Instructors_Example 7.13,Properties: Mechanical,openai/gpt-4o-mini,multimodal,+1,"$$
\left(\frac{d F}{d r}\right){r{0}}=-\frac{2 A}{\left(\frac{A}{n B}\right)^{3 /(1-n)}}+\frac{(n)(n+1) B}{\left(\frac{A}{n B}\right)^{(n+2) /(1-n)}}
$$",Y,llm_only,15013
Fundamentals_of_Materials_Instructors_Example 7.23,Materials: Metals,openai/gpt-4o-mini,multimodal,"(0.508, 0.017)","(0.15, 5.25e-3)",N,llm_only,13044
Fundamentals_of_Materials_Instructors_Example 7.26,Materials: Metals,openai/gpt-4o-mini,multimodal,"(200, 400, 600, 2000)","(210, 1370, 1600, 1950)",N,llm_only,9625
Fundamentals_of_Materials_Instructors_Example 7.27,Materials: Metals,openai/gpt-4o-mini,multimodal,79,9.7,N,llm_only,16445
Fundamentals_of_Materials_Instructors_Example 7.28,Materials: Metals,openai/gpt-4o-mini,multimodal,4.45,8.5,N,llm_only,13431
Fundamentals_of_Materials_Instructors_Example 7.29,Materials: Metals,openai/gpt-4o-mini,multimodal,6.05,37800,N,llm_only,11493
Fundamentals_of_Materials_Instructors_Example 7.52,Materials: Metals,openai/gpt-4o-mini,multimodal,"(0.12024, 0.1212)","(120, 121.44)",N,llm_only,16153
Fundamentals_of_Materials_Instructors_Example 7.53,Materials: Metals,openai/gpt-4o-mini,multimodal,"(0.00121, 0.00679, 614.88)","(0.0087, 0.0113, 616.9)",N,llm_only,14154
Fundamentals_of_Materials_Instructors_Example 7.62,Properties: Mechanical,openai/gpt-4o-mini,multimodal,5000,3.3,N,llm_only,11371
Fundamentals_of_Materials_Instructors_Example 7.72,Materials: Metals,openai/gpt-4o-mini,multimodal,"(202.5, 1.46)","(200.5, 1.45)",Y,llm_only,21955
Fundamentals_of_Materials_Instructors_Example 7.73,Materials: Metals,openai/gpt-4o-mini,multimodal,"(710, 0.8803)","(710, 0.880)",Y,llm_only,9835
Fundamentals_of_Materials_Instructors_Example 7.74,Properties: Mechanical,openai/gpt-4o-mini,multimodal,"(0.0527, 523.12)","(0.0527, 519)",Y,llm_only,9860
Fundamentals_of_Materials_Instructors_Example 8.26,Materials: Metals,openai/gpt-4o-mini,multimodal,0.01,6.94E-03,N,llm_only,14687
Fundamentals_of_Materials_Instructors_Example 8.28,Materials: Metals,openai/gpt-4o-mini,multimodal,13.04,13,Y,llm_only,17146
Fundamentals_of_Materials_Instructors_Example 8.31,Materials: Metals,openai/gpt-4o-mini,multimodal,12.8,7.2,N,llm_only,8775
Fundamentals_of_Materials_Instructors_Example 8.38,Materials: Metals,openai/gpt-4o-mini,multimodal,"(10, 1)","(3000, 80)",N,llm_only,13323
Fundamentals_of_Materials_Instructors_Example 8.44,Materials: Metals,openai/gpt-4o-mini,multimodal,121.9,124,N,llm_only,15229
Fundamentals_of_Materials_Instructors_Example 8.59,Materials: Elastomers,openai/gpt-4o-mini,multimodal,0.0674,0.174,N,llm_only,15998
Fundamentals_of_Materials_Instructors_Example 8.60,Materials: Polymers,openai/gpt-4o-mini,multimodal,70.7,54.5,N,llm_only,13861
Fundamentals_of_Materials_Instructors_Example 8.62,Materials: Elastomers,openai/gpt-4o-mini,multimodal,0.51,14.1,N,llm_only,11634
Fundamentals_of_Materials_Instructors_Example 9.19,Materials: Metals,openai/gpt-4o-mini,multimodal,0.31,0.11,N,llm_only,7120
Fundamentals_of_Materials_Instructors_Example 9.21,Materials: Metals,openai/gpt-4o-mini,multimodal,1.80,297,N,llm_only,12469
Fundamentals_of_Materials_Instructors_Example 9.22,Materials: Metals,openai/gpt-4o-mini,multimodal,16.9,18.7,N,llm_only,13133
Fundamentals_of_Materials_Instructors_Example 9.23,Materials: Metals,openai/gpt-4o-mini,multimodal,7560,6400,N,llm_only,10806
Fundamentals_of_Materials_Instructors_Example 9.24,Materials: Metals,openai/gpt-4o-mini,multimodal,1000000,3E+06,N,llm_only,13158
Fundamentals_of_Materials_Instructors_Example 9.25,Materials: Metals,openai/gpt-4o-mini,multimodal,7,"(95000, -78000)",N,llm_only,17145
Fundamentals_of_Materials_Instructors_Example 9.37,Materials: Metals,openai/gpt-4o-mini,multimodal,2.5,41.5,N,llm_only,13609
Fundamentals_of_Materials_Instructors_Example 9.38,Materials: Metals,openai/gpt-4o-mini,multimodal,49530,49500,Y,llm_only,11973
Fundamentals_of_Materials_Instructors_Example 9.39,Materials: Metals,openai/gpt-4o-mini,multimodal,21,17.2,N,llm_only,13107
