question_id,subject,model,mode,model_extracted_output,correct_answer,correct,notes,request_time_ms
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.12,Properties: Mechanical,openai/o4-mini,text_only,"(1/3,-1,1)","($\frac{1}{3}$, -1, 1)",N,llm_only,7394
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.14,Materials: Metals,openai/o4-mini,text_only,"(5.47,\;2.86)","(3.65, 1.43)",N,llm_only,20336
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.15,Materials: Metals,openai/o4-mini,text_only,"(23.08,14.11)","(5.77, 14.1)",N,llm_only,36059
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.17,Materials: Metals,openai/o4-mini,text_only,1.31\times10^{19},13.1,N,llm_only,21057
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.18,Materials: Semiconductors,openai/o4-mini,text_only,2.14,2.14,N,llm_only,25284
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.19,Materials: Metals,openai/o4-mini,text_only,7.91,7.91,Y,llm_only,55392
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.3,Materials: Metals,openai/o4-mini,text_only,1.38\times10^{24},1.38E+24,Y,llm_only,16113
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.4,Materials: Metals,openai/o4-mini,text_only,"(0.248,0.286)","(0.248, 0.286)",N,llm_only,13790
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.6,Structures: Micro/Nano-structure,openai/o4-mini,text_only,4.01,4.01,Y,llm_only,18604
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.1,Materials: Metals,openai/o4-mini,text_only,329,328,N,llm_only,13424
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.4,Materials: Metals,openai/o4-mini,text_only,3.7\times10^{4},10.2,N,llm_only,12147
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.7,Materials: Metals,openai/o4-mini,text_only,4.32\times10^{-4},4.32E-04,Y,llm_only,13358
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.2,Materials: Metals,openai/o4-mini,text_only,3.18\times10^{-3},3.18E-03,Y,llm_only,13101
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.3,Materials: Metals,openai/o4-mini,text_only,"(9.9964,\;10.0036)","(9.9964, 10.0036)",Y,llm_only,11982
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.4,Materials: Glasses,openai/o4-mini,text_only,8.0\times10^{7},57,N,llm_only,10148
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.6,Materials: Metals,openai/o4-mini,text_only,"\bigl(1.205\times10^{-3},\;0.769,\;5.00\times10^{-6}\bigr)","(1.2 \times 10^{-3}, 0.77, 5.0 \times 10^{-6})",Y,llm_only,11889
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.7,Materials: Metals,openai/o4-mini,text_only,2.755\times 10^{11},280,N,llm_only,8767
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.8,Materials: Metals,openai/o4-mini,text_only,"(0.264,\;2.45)","(0.264, 2.45)",N,llm_only,9180
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.9,Materials: Metals,openai/o4-mini,text_only,240.2,240,N,llm_only,10498
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.10,Materials: Metals,openai/o4-mini,text_only,8.8\times10^{-5},8.68E-05,N,llm_only,14253
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.12,Materials: Elastomers,openai/o4-mini,text_only,"(41.6,40.5)","(41.5, 40.5)",N,llm_only,9936
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.13,Materials: Glasses,openai/o4-mini,text_only,"(680.5,\;859.3,\;932.2,\;995.0)","(680, 858, 931, 993)",Y,llm_only,19823
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 7.2,Materials: Metals,openai/o4-mini,text_only,0.858,0.858,Y,llm_only,8986
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 7.3,Materials: Metals,openai/o4-mini,text_only,1.99\times10^6,1.99 \times 10^{6},N,llm_only,10241
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 7.4,Materials: Metals,openai/o4-mini,text_only,"(6.75\times10^4,1.065\times10^5,2.85\times10^5)","(67500, 106500, 282000)",Y,llm_only,10021
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.2,Materials: Metals,openai/o4-mini,text_only,5.74\times10^{-3},5.74,N,llm_only,11985
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.3,Materials: Ceramics,openai/o4-mini,text_only,"(3.38\times10^2,1.02\times10^3)","(339, 1020)",N,llm_only,9103
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.6,Materials: Metals,openai/o4-mini,text_only,0.053,0.0534,N,llm_only,6206
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.1,Materials: Metals,openai/o4-mini,text_only,1,1,Y,llm_only,11879
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.3,Materials: Metals,openai/o4-mini,text_only,"(0.333,\;0.667)","(333, 667)",N,llm_only,9488
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 10.1,Materials: Metals,openai/o4-mini,text_only,1.8\times10^5,181,N,llm_only,12123
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 11.1,Materials: Metals,openai/o4-mini,text_only,16.4,16.3,N,llm_only,8307
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 11.2,Materials: Glasses,openai/o4-mini,text_only,"(21.65,\;15.06,\;63.29)","(21.6, 15.0, 63.3)",Y,llm_only,18563
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 11.4,Materials: Ceramics,openai/o4-mini,text_only,698,698.0,N,llm_only,10170
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 11.5,Materials: Ceramics,openai/o4-mini,text_only,0.698,698,N,llm_only,13314
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 11.6,Materials: Glasses,openai/o4-mini,text_only,"(484.4,\;509.4)","(485, 509)",N,llm_only,14965
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.2,Materials: Polymers,openai/o4-mini,text_only,15013,15010,N,llm_only,6423
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.3,Materials: Polymers,openai/o4-mini,text_only,"(4.22,115.5)","(5.96, 189)",N,llm_only,30281
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.5,Materials: Polymers,openai/o4-mini,text_only,1.39,1.39,Y,llm_only,9170
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.6,Materials: Glasses,openai/o4-mini,text_only,"(84.4,2.108)","(84.3, 2.10)",N,llm_only,9655
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.7,Materials: Metals,openai/o4-mini,text_only,2.827,2.83,N,llm_only,6500
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.8,Materials: Glasses,openai/o4-mini,text_only,46200,4.62E+04,N,llm_only,8633
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.9,Materials: Glasses,openai/o4-mini,text_only,0.65,0.65,Y,llm_only,6165
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.10,Materials: Glasses,openai/o4-mini,text_only,5.49\times10^4,5.49E+04,Y,llm_only,8890
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.11,Materials: Metals,openai/o4-mini,text_only,"(6.61\times10^6,\;1.26\times10^7)","(6.61 \times 10^6, 12.6 \times 10^6)",Y,llm_only,12127
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.2,Materials: Metals,openai/o4-mini,text_only,1.03\times10^{29},1.04E+29,Y,llm_only,10462
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.4,Materials: Metals,openai/o4-mini,text_only,1.75\times10^{-3},1.75E-03,Y,llm_only,9454
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.6,Materials: Semiconductors,openai/o4-mini,text_only,1.9\times10^{-19},4.39 \times 10^{-10},N,llm_only,9373
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.7,Materials: Metals,openai/o4-mini,text_only,2.54\times10^7,25.4 \times 10^{6},N,llm_only,9758
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.8,Materials: Metals,openai/o4-mini,text_only,31.0\times10^{-9},3.1E-08,N,llm_only,7190
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.10,Properties: Electrical,openai/o4-mini,text_only,1.7\times 10^{10},1.7E+10,Y,llm_only,8495
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.13,Properties: Thermal,openai/o4-mini,text_only,2.8\times10^{-13},2.8E-13,N,llm_only,13362
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.14,Materials: Semiconductors,openai/o4-mini,text_only,4.33\times10^2,217,N,llm_only,12797
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.15,Materials: Semiconductors,openai/o4-mini,text_only,0.35,0.349,Y,llm_only,10400
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.16,Materials: Semiconductors,openai/o4-mini,text_only,1.04\times10^{-5},1.04E-05,Y,llm_only,12865
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.18,Materials: Semiconductors,openai/o4-mini,text_only,1.83\times10^2,107,N,llm_only,13238
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.19,Materials: Semiconductors,openai/o4-mini,text_only,12.9,1.03 \times 10^{21} \mathrm{~m}^{-3},N,llm_only,32864
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.22,Materials: Semiconductors,openai/o4-mini,text_only,1.83\times10^{-5},1.84E-05,Y,llm_only,11419
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.23,Materials: Semiconductors,openai/o4-mini,text_only,1.4\times10^{-6},1.26E-06,Y,llm_only,13253
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.24,Materials: Semiconductors,openai/o4-mini,text_only,"(0.9091,\;0.0909)","(0.909, 0.091)",Y,llm_only,8074
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.26,Materials: Semiconductors,openai/o4-mini,text_only,888,886,N,llm_only,13343
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.1,Structures: Composites,openai/o4-mini,text_only,5.0\times10^{-19},3.1,N,llm_only,7697
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.3,Materials: Polymers,openai/o4-mini,text_only,0.052,0.0519,N,llm_only,8962
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.5,Materials: Metals,openai/o4-mini,text_only,"(1.77,3.10)","(2.84 \times 10^{-19}, 4.97 \times 10^{-19})",Y,llm_only,12428
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.6,Materials: Semiconductors,openai/o4-mini,text_only,844,844,Y,llm_only,9430
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.7,Materials: Glasses,openai/o4-mini,text_only,83.3,83.3,Y,llm_only,9991
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.8,Materials: Semiconductors,openai/o4-mini,text_only,4.79\times10^{-7},479,Y,llm_only,9553
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.12,Materials: Metals,openai/o4-mini,text_only,16,16,Y,llm_only,8048
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.17,Materials: Metals,openai/o4-mini,text_only,"(40,40,40)","(40, 40, 40)",Y,llm_only,12384
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 15.2,Materials: Hybrids,openai/o4-mini,text_only,23655000,2.37E+07,N,llm_only,7088
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 15.3,Materials: Semiconductors,openai/o4-mini,text_only,844,844,Y,llm_only,7849
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 15.4,Materials: Metals,openai/o4-mini,text_only,1.68,1.68,N,llm_only,14625
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 2.1,Materials: Metals,openai/o4-mini,text_only,"(3.39\times10^{10},2.59\times10^{10})","(3.38e10, 2.59e10)",Y,llm_only,17313
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 2.3,Materials: Metals,openai/o4-mini,text_only,"(0.0192,0.0263)","(19.23, 26.34)",N,llm_only,16917
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 2.5,Structures: Composites,openai/o4-mini,text_only,"(2.05\times10^{-8},2.05\times10^{-8})","(20.9e-9, -20.9e-9)",N,llm_only,12331
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 2.6,Fundamental: Crystal Structure,openai/o4-mini,text_only,"(0.225,\;0.414)","(0.225, 0.414)",N,llm_only,11517
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 2.10,Materials: Polymers,openai/o4-mini,text_only,"(-267,-202)","(60, 60)",N,llm_only,18334
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 2.11,Materials: Polymers,openai/o4-mini,text_only,7.9\times10^2,794,N,llm_only,25950
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.5,Properties: Mechanical,openai/o4-mini,text_only,3.34,3.45,N,llm_only,13133
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.6,Materials: Polymers,openai/o4-mini,text_only,5.7\times10^{24},5.7E+24,Y,llm_only,15541
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.12,Fundamental: Crystal Structure,openai/o4-mini,text_only,"(\{[100],[010],[001],\;[-100],[0-10],[00-1]\},\;\text{Sketch: arrows along ±x, ±y, ±z axes labeled accordingly})","([100],[010],[001][100],[0 \overline{1} 0],[00 \overline{1}], )",Y,llm_only,13968
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.13,Fundamental: Crystal Structure,openai/o4-mini,text_only,"(45,54.74)","(45, 54.7)",N,llm_only,6691
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.16,Materials: Metals,openai/o4-mini,text_only,"(0.4029,\;0.1639)","(4.03, 1.63)",N,llm_only,25622
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.17,Materials: Metals,openai/o4-mini,text_only,"(7.03,\;18.62)","(7.04, 18.5)",Y,llm_only,39669
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.18,Properties: Mechanical,openai/o4-mini,text_only,4.80\times10^{9},1.21,N,llm_only,18265
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.19,Properties: Mechanical,openai/o4-mini,text_only,\frac{8}{\sqrt{3}a^{2}},10.2,N,llm_only,18464
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.20,Materials: Semiconductors,openai/o4-mini,text_only,,2.05,N,llm_only,15592
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 3.21,Materials: Semiconductors,openai/o4-mini,text_only,7.22\times10^{18},7.27,N,llm_only,30682
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 4.3,Materials: Metals,openai/o4-mini,text_only,5.31\times10^{25},5.31E+25,Y,llm_only,13999
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 4.4,Materials: Metals,openai/o4-mini,text_only,3.209\times10^{-10},0.320,N,llm_only,25348
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 6.7,Materials: Metals,openai/o4-mini,text_only,"(2.866,\;2.880)","(0.2864, 0.2887)",N,llm_only,12345
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 6.9,Materials: Metals,openai/o4-mini,text_only,4.24,4.08,N,llm_only,18060
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 7.1,Materials: Metals,openai/o4-mini,text_only,393,385,N,llm_only,11258
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 7.2,Materials: Ceramics,openai/o4-mini,text_only,4.875\times10^{-4},0.517,N,llm_only,14380
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 7.3,Materials: Metals,openai/o4-mini,text_only,2.0\times10^{6},1.86E+06,Y,llm_only,13595
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 8.1,Materials: Metals,openai/o4-mini,text_only,0.25,\leq 0.20,N,llm_only,26496
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 9.1,Materials: Metals,openai/o4-mini,text_only,"(2,1,0)","(2, 1, 0)",N,llm_only,13084
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 11.1,Materials: Metals,openai/o4-mini,text_only,"(2.747,\;2.910)","(2.75, 2.91)",Y,llm_only,19105
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 12.1,Materials: Polymers,openai/o4-mini,text_only,"(0.1212,0.0606)","(0.243, 0.121)",N,llm_only,18981
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 12.2,Materials: Polymers,openai/o4-mini,text_only,833,833,Y,llm_only,8671
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 12.7,Materials: Hybrids,openai/o4-mini,text_only,14.13,14.1,N,llm_only,11914
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 12.8,Materials: Glasses,openai/o4-mini,text_only,37.5,3.97E+04,N,llm_only,9001
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.2,Materials: Metals,openai/o4-mini,text_only,6.7\times10^{23},8.17E+23,N,llm_only,11616
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.6,Materials: Semiconductors,openai/o4-mini,text_only,3.3\times10^{-18},2.32E-09,N,llm_only,18203
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.7,Materials: Metals,openai/o4-mini,text_only,"(3.41\times10^7,9.87\times10^6)","(34.0e6, 10.0e6)",N,llm_only,10888
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.8,Materials: Metals,openai/o4-mini,text_only,3.05\times10^{-8},4.32E-08,N,llm_only,21390
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.13,Materials: Semiconductors,openai/o4-mini,text_only,"(3.99\times10^{-4},2.50\times10^{3})","(3.99e-4, 2.50e3)",Y,llm_only,11001
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.21,Materials: Semiconductors,openai/o4-mini,text_only,6.6\times10^{4},2.2E+04,N,llm_only,38957
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 13.22,Materials: Semiconductors,openai/o4-mini,text_only,"(0.989,0.011)","(0.9944, 0.0056)",Y,llm_only,8057
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 14.1,Properties: Mechanical,openai/o4-mini,text_only,2.84\times10^{-19},1.77,N,llm_only,11690
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 14.3,Materials: Polymers,openai/o4-mini,text_only,"(0.0387,0.0222)","(0.0362, 0.0222)",N,llm_only,8770
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 14.4,Properties: Optical,openai/o4-mini,text_only,0.0769,0.0758,N,llm_only,10367
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 14.12,Materials: Metals,openai/o4-mini,text_only,13.84,8,N,llm_only,15483
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 14.17,Materials: Ceramics,openai/o4-mini,text_only,"(0,80,0.89)","(0, 80, 0.89)",N,llm_only,17101
Introduction_to_Materials_Science_for_Engineers_Shackelford_PP 15.7,Materials: Metals,openai/o4-mini,text_only,32.3,0.0323,N,llm_only,9274
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.1,Materials: Metals,openai/o4-mini,text_only,1.04\times10^{22},1.04E+22,Y,llm_only,12749
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.3,Materials: Semiconductors,openai/o4-mini,text_only,"(3.31\times10^{15},6.62\times10^{15})","(3.31e15, 6.62e15)",Y,llm_only,12067
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.5,Materials: Metals,openai/o4-mini,text_only,"(9.22\times10^{11},1.38\times10^{12})","(0.92e12, 1.38e12)",Y,llm_only,13882
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.7,Materials: Metals,openai/o4-mini,text_only,"(3.72\times10^{23},\;0.617)","(0.372e24, 0.617)",N,llm_only,10255
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.9,Materials: Metals,openai/o4-mini,text_only,"(1.43,6.51\times10^{-4})","(1.41, 6.50e-4)",Y,llm_only,18429
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.25,Materials: Ceramics,openai/o4-mini,text_only,2.6\times10^{-8},2.21E-08,N,llm_only,10067
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.27,Properties: Thermal,openai/o4-mini,text_only,\frac{\pi^2}{12},1.645,Y,llm_only,14424
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.31,Materials: Elastomers,openai/o4-mini,text_only,"(-82,-927)","(60, 678)",N,llm_only,23361
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.35,Materials: Polymers,openai/o4-mini,text_only,60072,60068,N,llm_only,10685
Introduction_to_Materials_Science_for_Engineers_Shackelford_2.49,Materials: Metals,openai/o4-mini,text_only,3.92\times10^2,392,Y,llm_only,18897
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.15,Structures: Composites,openai/o4-mini,text_only,10.96,10.9,N,llm_only,13008
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.19,Materials: Polymers,openai/o4-mini,text_only,-4.2\times10^{-19},1.24,N,llm_only,17675
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.21,Materials: Polymers,openai/o4-mini,text_only,0.72,0.12,N,llm_only,45346
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.27,Fundamental: Crystal Structure,openai/o4-mini,text_only,"(26.565,26.565)","(26.6, 26.6)",N,llm_only,14767
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.31,Fundamental: Diffusion & Kinetics,openai/o4-mini,text_only,0-11,[0 \overline{1} 1],N,llm_only,10036
Introduction_to_Materials_Science_for_Engineers_Shackelford_3.77,Materials: Metals,openai/o4-mini,text_only,"(100,002,101)","((100), (002), (101))",Y,llm_only,15836
Introduction_to_Materials_Science_for_Engineers_Shackelford_4.13,Materials: Semiconductors,openai/o4-mini,text_only,"(8.02\times10^{-6},7.70\times10^{-6})","(8.00e-6, 7.69e-6)",N,llm_only,18775
Introduction_to_Materials_Science_for_Engineers_Shackelford_4.15,Materials: Semiconductors,openai/o4-mini,text_only,"(8.005\times10^{-6},\;8.843\times10^{-6})","(8.00e-6, 8.83e-6)",Y,llm_only,12759
Introduction_to_Materials_Science_for_Engineers_Shackelford_4.17,Materials: Semiconductors,openai/o4-mini,text_only,5.0\times10^{21},5E+21,N,llm_only,10077
Introduction_to_Materials_Science_for_Engineers_Shackelford_4.19,Materials: Semiconductors,openai/o4-mini,text_only,2.7\times10^{23},2.69E+23,Y,llm_only,18752
Introduction_to_Materials_Science_for_Engineers_Shackelford_4.21,Materials: Metals,openai/o4-mini,text_only,"\left(\frac{2}{3},\frac{1}{3}\right)","(2.67, 1.33)",N,llm_only,7035
Introduction_to_Materials_Science_for_Engineers_Shackelford_5.1,Materials: Ceramics,openai/o4-mini,text_only,4.9\times10^5,500,N,llm_only,10915
Introduction_to_Materials_Science_for_Engineers_Shackelford_5.3,Materials: Ceramics,openai/o4-mini,text_only,2.9\times10^{5},290,Y,llm_only,13396
Introduction_to_Materials_Science_for_Engineers_Shackelford_5.17,Materials: Metals,openai/o4-mini,text_only,4.1\times10^{-15},4.1E-15,Y,llm_only,11612
Introduction_to_Materials_Science_for_Engineers_Shackelford_5.19,Materials: Metals,openai/o4-mini,text_only,1.65\times10^{-13},1.65E-13,Y,llm_only,11459
Introduction_to_Materials_Science_for_Engineers_Shackelford_5.21,Materials: Metals,openai/o4-mini,text_only,2.64\times10^{5},264,N,llm_only,15122
