qid,subject,category,topic,model,shots,gold_index,gold_text,pred_index,pred_text,correct,notes,scores_json,raw_output,request_time_ms
126,language science,Reference skills,reference-skills,openai/gpt-3.5-turbo,0,1,no,0,yes,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.600,"{""0"": 0.6, ""1"": 0.0}",(A) yes,645
128,natural science,Physical and chemical change,chemistry,openai/gpt-3.5-turbo,0,1,Both are only physical changes.,1,Both are only physical changes.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.939,"{""0"": 0.4838709677419355, ""1"": 0.9393939393939394, ""2"": 0.5161290322580645, ""3"": 0.7540983606557377}",(B) Both are only physical changes.,581
133,natural science,Classification,biology,openai/gpt-3.5-turbo,0,0,Oak trees can have thick branches.,0,Oak trees can have thick branches.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.944,"{""0"": 0.9444444444444444, ""1"": 0.3548387096774194}",(A) Oak trees can have thick branches.,553
139,language science,Shades of meaning,vocabulary,openai/gpt-3.5-turbo,0,1,a prudent leader,1,a prudent leader,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.889,"{""0"": 0.5945945945945946, ""1"": 0.8888888888888888}",(B) a prudent leader,1713
142,language science,Reference skills,reference-skills,openai/gpt-3.5-turbo,0,1,yes,1,yes,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.600,"{""0"": 0.0, ""1"": 0.6}",(B) yes,632
145,natural science,Units and measurement,units-and-measurement,openai/gpt-3.5-turbo,0,1,45°F,1,45°F,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.667,"{""0"": 0.5, ""1"": 0.6666666666666666}",(B) 45°F,601
149,natural science,Classification,biology,openai/gpt-3.5-turbo,0,0,Chinese alligator,0,Chinese alligator,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.895,"{""0"": 0.8947368421052632, ""1"": 0.3888888888888889, ""2"": 0.1935483870967742, ""3"": 0.30303030303030304}",(A) Chinese alligator,645
155,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,1,"All religions, arts, and sciences are related.",0,"All religions, arts, and sciences are distant from one another.",N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.410,"{""0"": 0.4097222222222222, ""1"": 0.33948339483394835}","(B) All religions, arts, and sciences are related. The metaphor of branches of the same tree suggests that while they may appear different on the surface, they all stem from a common source and are interconnected in some way.",869
163,language science,Rhyming,phonological-awareness,openai/gpt-3.5-turbo,0,1,hide,1,hide,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.667,"{""0"": 0.3333333333333333, ""1"": 0.6666666666666666, ""2"": 0.3333333333333333}",(B) hide,472
167,natural science,Weather and climate,units-and-measurement,openai/gpt-3.5-turbo,0,0,100°F,2,65°F,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.667,"{""0"": 0.3076923076923077, ""1"": 0.46153846153846156, ""2"": 0.6666666666666666}",(C) 65°F,436
172,natural science,Units and measurement,units-and-measurement,openai/gpt-3.5-turbo,0,2,4 kilometers,2,4 kilometers,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.857,"{""0"": 0.6666666666666666, ""1"": 0.6896551724137931, ""2"": 0.8571428571428571, ""3"": 0.6206896551724138}",(C) 4 kilometers,523
176,language science,Reference skills,reference-skills,openai/gpt-3.5-turbo,0,1,glow,0,guess,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.714,"{""0"": 0.7142857142857143, ""1"": 0.15384615384615385}",(A) guess,471
183,natural science,Genes to traits,biology,openai/gpt-3.5-turbo,0,0,HH,0,HH,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.500,"{""0"": 0.5, ""1"": 0.23529411764705882}",(A) HH,477
188,natural science,"Velocity, acceleration, and forces",physics,openai/gpt-3.5-turbo,0,0,The wheelchair is pushing on Darnel.,0,The wheelchair is pushing on Darnel.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.947,"{""0"": 0.9473684210526315, ""1"": 0.8947368421052632}",(A) The wheelchair is pushing on Darnel.,502
193,natural science,Units and measurement,units-and-measurement,openai/gpt-3.5-turbo,0,1,55°C,0,55°F,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.667,"{""0"": 0.6666666666666666, ""1"": 0.5}",(A) 55°F,563
196,natural science,Units and measurement,units-and-measurement,openai/gpt-3.5-turbo,0,1,5 kilometers,1,5 kilometers,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.857,"{""0"": 0.6666666666666666, ""1"": 0.8571428571428571}",(B) 5 kilometers,514
210,natural science,Chemical reactions,chemistry,openai/gpt-3.5-turbo,0,2,Both are caused by heating.,2,Both are caused by heating.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.931,"{""0"": 0.5483870967741935, ""1"": 0.7931034482758621, ""2"": 0.9310344827586207, ""3"": 0.5614035087719298}",(C) Both are caused by heating.,537
214,natural science,Heat and thermal energy,physics,openai/gpt-3.5-turbo,0,0,a meatball at a temperature of 139°F,0,a meatball at a temperature of 139°F,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.947,"{""0"": 0.9473684210526315, ""1"": 0.8947368421052632, ""2"": 0.8947368421052632}",(A) a meatball at a temperature of 139°F,575
230,language science,Formatting,punctuation,openai/gpt-3.5-turbo,0,0,***The Lion and the Mouse***,0,***The Lion and the Mouse***,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.933,"{""0"": 0.9333333333333333, ""1"": 0.7857142857142857}",(A) ***The Lion and the Mouse***,1039
232,language science,"Sentences, fragments, and run-ons",writing-strategies,openai/gpt-3.5-turbo,0,1,no,1,no,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.500,"{""0"": 0.0, ""1"": 0.5}",(B) no,580
266,language science,Phrases and clauses,grammar,openai/gpt-3.5-turbo,0,0,compound-complex,0,compound-complex,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.889,"{""0"": 0.8888888888888888, ""1"": 0.5714285714285714, ""2"": 0.3076923076923077, ""3"": 0.5185185185185185}",(A) compound-complex,567
269,natural science,Classification,biology,openai/gpt-3.5-turbo,0,2,chinchilla,2,chinchilla,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.833,"{""0"": 0.2727272727272727, ""1"": 0.24242424242424243, ""2"": 0.8333333333333334, ""3"": 0.25}",(C) chinchilla,656
272,natural science,Heat and thermal energy,physics,openai/gpt-3.5-turbo,0,0,a cherry pie at a temperature of 100°F,0,a cherry pie at a temperature of 100°F,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.718,"{""0"": 0.7184466019417476, ""1"": 0.6666666666666666}",The cherry pie at a temperature of 100°F has more thermal energy.,721
275,language science,Verb tense,verbs,openai/gpt-3.5-turbo,0,1,present tense,1,present tense,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.867,"{""0"": 0.5517241379310345, ""1"": 0.8666666666666667, ""2"": 0.6666666666666666}",(B) present tense,576
280,natural science,Heredity,biology,openai/gpt-3.5-turbo,0,1,Seth learned biology by doing experiments.,1,Seth learned biology by doing experiments.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.955,"{""0"": 0.41379310344827586, ""1"": 0.9545454545454546}",(B) Seth learned biology by doing experiments.,577
292,social science,Basic economic principles,economics,openai/gpt-3.5-turbo,0,1,Jordan will give up the chance to look at the magnolia tree. He thinks it would have looked more beautiful than the chrysanthemums.,1,Jordan will give up the chance to look at the magnolia tree. He thinks it would have looked more beautiful than the chrysanthemums.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.985,"{""0"": 0.29508196721311475, ""1"": 0.9849624060150376}",(B) Jordan will give up the chance to look at the magnolia tree. He thinks it would have looked more beautiful than the chrysanthemums.,772
298,language science,Short and long vowels,word-study,openai/gpt-3.5-turbo,0,0,open,1,closed,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.750,"{""0"": 0.2857142857142857, ""1"": 0.75}",(B) closed,483
315,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,1,Lacey thinks the storm will cause major flooding.,1,Lacey thinks the storm will cause major flooding.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.317,"{""0"": 0.14715719063545152, ""1"": 0.31715210355987056}","(B) Lacey thinks the storm will cause major flooding. 

The allusion to Noah's Ark suggests that Lacey believes the storm will bring about a significant amount of water and flooding, similar to the biblical story of Noah building an ark to survive a great flood.",1059
319,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,0,understatement,0,understatement,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.875,"{""0"": 0.875, ""1"": 0.21428571428571427}",(A) understatement,444
325,natural science,Units and measurement,units-and-measurement,openai/gpt-3.5-turbo,0,0,5 milliliters,0,5 milliliters,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.867,"{""0"": 0.8666666666666667, ""1"": 0.64}",(A) 5 milliliters,617
333,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,0,Greek mythology,0,Greek mythology,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.882,"{""0"": 0.8823529411764706, ""1"": 0.21428571428571427}",(A) Greek mythology,445
345,language science,"Sentences, fragments, and run-ons",grammar,openai/gpt-3.5-turbo,0,0,"In June, Bridget and Max will graduate with honors from Lowell High School.",1,"When the supervisor arrived at the quarry, six dump trucks were in line at the gate.",N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.977,"{""0"": 0.17177914110429449, ""1"": 0.9767441860465116}","(B) When the supervisor arrived at the quarry, six dump trucks were in line at the gate.",613
348,natural science,Units and measurement,units-and-measurement,openai/gpt-3.5-turbo,0,0,26°C,0,26°C,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.667,"{""0"": 0.6666666666666666, ""1"": 0.5}",(A) 26°C,1064
363,natural science,Materials,physics,openai/gpt-3.5-turbo,0,0,bark,0,bark,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.667,"{""0"": 0.6666666666666666, ""1"": 0.2222222222222222}",(A) bark,475
383,language science,Text structure,writing-strategies,openai/gpt-3.5-turbo,0,1,cause-effect,1,cause-effect,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.857,"{""0"": 0.3076923076923077, ""1"": 0.8571428571428571}",(B) cause-effect,530
392,language science,Capitalization,capitalization,openai/gpt-3.5-turbo,0,0,"Dear Pablo,",0,"Dear Pablo,",Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.846,"{""0"": 0.8461538461538461, ""1"": 0.8461538461538461}","(A) Dear Pablo,",1665
404,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,1,onomatopoeia,1,onomatopoeia,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.857,"{""0"": 0.2857142857142857, ""1"": 0.8571428571428571}",(B) onomatopoeia,497
415,natural science,Designing experiments,science-and-engineering-practices,openai/gpt-3.5-turbo,0,0,Does the basketball bounce higher on gravel or on grass?,1,Do larger basketballs bounce higher than smaller basketballs on a brick patio?,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.975,"{""0"": 0.5942028985507246, ""1"": 0.975, ""2"": 0.6527777777777778}",(B) Do larger basketballs bounce higher than smaller basketballs on a brick patio?,581
433,language science,Reference skills,reference-skills,openai/gpt-3.5-turbo,0,1,no,0,yes,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.600,"{""0"": 0.6, ""1"": 0.0}",(A) yes,1216
440,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,0,Greek mythology,0,Greek mythology,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.882,"{""0"": 0.8823529411764706, ""1"": 0.21428571428571427}",(A) Greek mythology,557
453,social science,Supply and demand,economics,openai/gpt-3.5-turbo,0,1,The supply probably went down.,1,The supply probably went down.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.938,"{""0"": 0.8387096774193549, ""1"": 0.9375}",(B) The supply probably went down.,690
456,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,0,The tired boy was a slow turtle.,0,The tired boy was a slow turtle.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.941,"{""0"": 0.9411764705882353, ""1"": 0.8648648648648649}",(A) The tired boy was a slow turtle.,537
457,language science,Word usage and nuance,writing-strategies,openai/gpt-3.5-turbo,0,0,"As a geneticist, Suzie dislikes many popular sci-fi movies because they often present audiences with factoids that misrepresent her field.",0,"As a geneticist, Suzie dislikes many popular sci-fi movies because they often present audiences with factoids that misrepresent her field.",Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.959,"{""0"": 0.959409594095941, ""1"": 0.4377358490566038}","Option (A) As a geneticist, Suzie dislikes many popular sci-fi movies because they often present audiences with factoids that misrepresent her field.",844
460,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,0,pun,0,pun,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.600,"{""0"": 0.6, ""1"": 0.4}",(A) pun,452
466,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,0,verbal irony,0,verbal irony,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.857,"{""0"": 0.8571428571428571, ""1"": 0.10526315789473684}",(A) verbal irony,516
469,language science,"Sentences, fragments, and run-ons",punctuation,openai/gpt-3.5-turbo,0,0,declarative,0,declarative,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.846,"{""0"": 0.8461538461538461, ""1"": 0.46153846153846156, ""2"": 0.5}",(A) declarative,545
512,language science,Capitalization,capitalization,openai/gpt-3.5-turbo,0,0,"See you soon,
Janet",0,"See you soon,
Janet",Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.905,"{""0"": 0.9047619047619048, ""1"": 0.9047619047619048}","(A) See you soon,
Janet",838
532,natural science,Units and measurement,units-and-measurement,openai/gpt-3.5-turbo,0,1,13 minutes,1,13 minutes,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.833,"{""0"": 0.4166666666666667, ""1"": 0.8333333333333334}",(B) 13 minutes,513
533,natural science,Traits and heredity,biology,openai/gpt-3.5-turbo,0,0,Edwin learned to identify insects by reading many books about insects.,0,Edwin learned to identify insects by reading many books about insects.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.350,"{""0"": 0.35, ""1"": 0.16976127320954906}","Option (A) Edwin learned to identify insects by reading many books about insects. This information supports the conclusion that Edwin acquired the trait of being good at identifying insects because it shows that he actively sought out knowledge and information about insects, which would have helped him develop his identification skills.",911
534,natural science,Thermal energy,physics,openai/gpt-3.5-turbo,0,1,the drop of honey with more thermal energy,1,the drop of honey with more thermal energy,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.955,"{""0"": 0.8863636363636364, ""1"": 0.9545454545454546}",(B) the drop of honey with more thermal energy,545
539,natural science,Weather and climate,earth-science,openai/gpt-3.5-turbo,0,1,climate,1,climate,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.778,"{""0"": 0.3333333333333333, ""1"": 0.7777777777777778}",(B) climate,654
543,language science,Rhyming,phonological-awareness,openai/gpt-3.5-turbo,0,1,swim,1,swim,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.667,"{""0"": 0.3333333333333333, ""1"": 0.6666666666666666, ""2"": 0.16666666666666666}",(B) swim,544
550,natural science,Genes to traits,biology,openai/gpt-3.5-turbo,0,1,a spotted coat,1,a spotted coat,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.875,"{""0"": 0.4666666666666667, ""1"": 0.875}",(B) a spotted coat,538
552,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,0,literature,0,literature,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.833,"{""0"": 0.8333333333333334, ""1"": 0.13793103448275862}",(A) literature,423
554,natural science,Heat and thermal energy,physics,openai/gpt-3.5-turbo,0,0,a 200-gram mug of cocoa at a temperature of 155°F,0,a 200-gram mug of cocoa at a temperature of 155°F,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.482,"{""0"": 0.48214285714285715, ""1"": 0.4642857142857143}",The object with a temperature of 155°F has more thermal energy.,912
557,natural science,"Velocity, acceleration, and forces",physics,openai/gpt-3.5-turbo,0,1,"The forces are balanced, so there is no net force on Ken.",1,"The forces are balanced, so there is no net force on Ken.",Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.966,"{""0"": 0.9243697478991597, ""1"": 0.9661016949152542}","(B) The forces are balanced, so there is no net force on Ken.",582
573,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,1,hyperbole,1,hyperbole,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.818,"{""0"": 0.18181818181818182, ""1"": 0.8181818181818182}",(B) hyperbole,674
593,natural science,Units and measurement,units-and-measurement,openai/gpt-3.5-turbo,0,2,18 miles,2,18 miles,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.800,"{""0"": 0.4, ""1"": 0.5714285714285714, ""2"": 0.8}",(C) 18 miles,527
595,natural science,Force and motion,physics,openai/gpt-3.5-turbo,0,0,a backpack carrying 9 pounds,0,a backpack carrying 9 pounds,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.215,"{""0"": 0.21455938697318008, ""1"": 0.21455938697318008}","(A) a backpack carrying 9 pounds

The backpack carrying 9 pounds will experience a larger force because it has a greater mass, which means it will require more force to accelerate and maintain the same speed as the backpack carrying 6 pounds.",824
612,language science,Pronouns,writing-strategies,openai/gpt-3.5-turbo,0,1,Abby was surprised when it said that at least one-third of American adults get less than seven hours of sleep each night.,1,Abby was surprised when it said that at least one-third of American adults get less than seven hours of sleep each night.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.957,"{""0"": 0.916030534351145, ""1"": 0.9565217391304348}","Option B: ""Abby was surprised when it said that at least one-third of American adults get less than seven hours of sleep each night.""",709
614,language science,Reference skills,reference-skills,openai/gpt-3.5-turbo,0,1,no,0,yes,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.039,"{""0"": 0.03870967741935484, ""1"": 0.025974025974025976}","(A) yes

Explanation: The word ""radio"" falls alphabetically between ""rescue"" and ""road,"" so it would be found on a dictionary page with these guide words.",814
616,natural science,Traits and heredity,biology,openai/gpt-3.5-turbo,0,0,inherited,0,inherited,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.818,"{""0"": 0.8181818181818182, ""1"": 0.47619047619047616}",(A) inherited,417
617,natural science,Units and measurement,units-and-measurement,openai/gpt-3.5-turbo,0,1,100°C,1,100°C,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.714,"{""0"": 0.5714285714285714, ""1"": 0.7142857142857143}",(B) 100°C,572
621,language science,Developing and supporting arguments,writing-strategies,openai/gpt-3.5-turbo,0,0,"false causation: the assumption that because two things happened together, one caused the other",0,"false causation: the assumption that because two things happened together, one caused the other",Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.485,"{""0"": 0.48450704225352115, ""1"": 0.245014245014245}","(A) false causation: the assumption that because two things happened together, one caused the other

In this case, the argument is suggesting that the increase in park funding caused the increase in littering, without providing any evidence or logical connection between the two.",1012
641,natural science,Anatomy and physiology,literacy-in-science,openai/gpt-3.5-turbo,0,0,"After an accident, the limb is too badly injured to heal.",0,"After an accident, the limb is too badly injured to heal.",Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.966,"{""0"": 0.9661016949152542, ""1"": 0.3076923076923077}","(A) After an accident, the limb is too badly injured to heal.",561
671,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,1,pun,1,pun,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.600,"{""0"": 0.26666666666666666, ""1"": 0.6}",(B) pun,463
689,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,0,paradox,0,paradox,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.778,"{""0"": 0.7777777777777778, ""1"": 0.21052631578947367}",(A) paradox,451
694,natural science,Units and measurement,units-and-measurement,openai/gpt-3.5-turbo,0,0,22°F,0,22°F,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.667,"{""0"": 0.6666666666666666, ""1"": 0.5}",(A) 22°F,528
739,natural science,Heat and thermal energy,physics,openai/gpt-3.5-turbo,0,0,a 7-kilogram block of iron at a temperature of 135°C,0,a 7-kilogram block of iron at a temperature of 135°C,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.743,"{""0"": 0.7428571428571429, ""1"": 0.7142857142857143}",Option (A) a 7-kilogram block of iron at a temperature of 135°C has more thermal energy.,665
764,natural science,Traits and heredity,biology,openai/gpt-3.5-turbo,0,1,Keith learned to identify insects by reading many books about insects.,1,Keith learned to identify insects by reading many books about insects.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.972,"{""0"": 0.38016528925619836, ""1"": 0.9722222222222222}",(B) Keith learned to identify insects by reading many books about insects.,594
769,language science,Categories,vocabulary,openai/gpt-3.5-turbo,0,0,chop,0,chop,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.667,"{""0"": 0.6666666666666666, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",(A) chop,638
795,natural science,Designing experiments,science-and-engineering-practices,openai/gpt-3.5-turbo,0,0,Do the deer eat fewer leaves from bean plants sprayed with garlic spray than from unsprayed bean plants?,0,Do the deer eat fewer leaves from bean plants sprayed with garlic spray than from unsprayed bean plants?,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.950,"{""0"": 0.9497716894977168, ""1"": 0.9041095890410958, ""2"": 0.6086956521739131}",Option (A) Do the deer eat fewer leaves from bean plants sprayed with garlic spray than from unsprayed bean plants?,670
814,natural science,Anatomy and physiology,literacy-in-science,openai/gpt-3.5-turbo,0,1,The limb cannot recover from an infection.,1,The limb cannot recover from an infection.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.955,"{""0"": 0.5617977528089888, ""1"": 0.9545454545454546}",(B) The limb cannot recover from an infection.,655
816,language science,Reference skills,reference-skills,openai/gpt-3.5-turbo,0,0,yes,1,no,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.500,"{""0"": 0.0, ""1"": 0.5}",(B) no,481
